"",PROGRAMA RADIOFÔNICO “HORA MILAGROSA”
01 – Com Jesus e a Vó Rosa,
 (FLAUTA l CLARONE l TROMPA l TROMPETE l PIANO),
"",
02 – O Caminho do Bem,
 (FLAUTA l OBOÉ l CLARINETE l FAGOTE l TROMPA),
"",
03 – Flor Gloriosa,
 (FLAUTA l OBOÉ l CLARINETE l FAGOTE l TROMPA),
"",
04 – Brilhou a Estrela Nasceu Jesus,
 (II FLAUTAS l II OBOÉS l II CLARINETES l II FAGOTES l II TROMPAS l HARPA (PIANO),
"",
05 – A minha paz vos dou,
 (FLAUTA l PIANO; * III TROMPETES l TUBA),
"",
06 – Com todo o meu amor,
 (III TROMPETES l II TROMBONES l TUBA),
"",
07 – Lembranças,
 (III TROMPETES l TROMBONE l TUBA; * SAX ALTO l CLARINETE l TROMPA l TROMPETE l TUBA),
"",
"08 – Eu vim, eu vou",
 (TROMBONE l TROMBONE BAIXO l II EUFÒNIOS),
"",
09 – Especial Mães,
 (III FLAUTAS l CLARINETE l SAX TENOR l SAX ALTO l III TROMPETES l),
"",
10 – A Maior Alegria,
 (II SAX SOPRANO l III SAX ALTO l III SAX TENOR l SAX BARÍTONO),
"",
11 – Data de Alegria,
 (II VIOLINOS l VIOLA l CELLO l BAIXO),
"",
12 – Recordando o Primeiro Natal,
 (II FLAUTAS l OBOÉ l II CLARINETES l II FAGOTES l SAX SOPRANO l SAX ALTO l SAX TENOR l SAX BARITONO l II TROMPAS l II,
TROMPETES l II TROMBONES l TROMBONE BAIXO l EUFÔNIO l TUBA),
"",
13 – É preciso ser como Ele foi,
 (FLAUTA l CLARINETE l II TROMBONES l TROMBONE BAIXO l II VIOLINOS l VIOLA l CELLO l BAIXO),
"",
14 – Tributo ao Aniversário do Primaz,
 (II FLAUTAS l II CLARINETES l CLARONE l TROMPA l TROMBONE l II VIOLINOS l VIOLA l CELLO),
"",
15 – Óh! Santo Espírito,
 (CELLO l PIANO; * CLARINETE l PIANO),
"",
16 – A Doutrina que temos pregado,
 (CLARINETE l TROMPA l TROMPETE l TROMBONE l EUFÔNIO l TUBA),
"",
17 – Um Conto de Natal,
 (SAX SOPRANO l SAX ALTO l SAX TENOR l SAX BARÍTONO; * FLAUTA l CLARINETE l SAX ALTO l SAX TENOR l SAX BARÍTONO),
"",
18 – Cristo Em Nós,
 (TROMPA l TROMPETE l TROMBONE l EUFÔNIO l TUBA),
"",
19 – Metas Para o Ano Novo,
 (II TROMPETES l TROMPA l TROMBONE l EUFÔNIO),
"",
20 – Igreja dos Céus,
 (IV CLARINETES l PIANO; * II VIOLINOS l CELLO l BAIXO),
"",
"Rua Baguari, 158 - Tatuapé - São Paulo - SP – CEP 03084-900 – Fone (11) 2941-7066 – (Copyright © 1954-2015)",
www.apostolica.com.br,www.horamilagrosa.org
