""
""
""
S.04,Viva Estás em Nosso Coração
S.05,Apostólico Sempre
S.06,Quando ao Céu Chegar
S.09,Divina Protetora
S.20,Feliz Por Ser da Santa Vó Rosa
S.21,Reverência
S.22,Canto de Exaltação
S.25,Dedicação a Santa Vó Rosa
S.26,Convite a Salvação
S.32,Um Planta e o Outro Rega
S.35,O Tempo Não Se Pode Esperar
S.33,Agradecimento aos Céus
S.38,Para Servir com Santidade
S.42,Soldados do Consolador
S.44,Tanto Amor
S.57,Gravei o Teu Nome
S.60,Agradecimento Pelo Perdão
S.62,A Força da Fé
S.65,É Preciso Falar
S.71,Mãe Adorada
S.73,Na Eternidade
S.78,Lindo Lugar
S.80,Rainha do Meu Viver
S.84,Quero Teu Nome Louvar
S.87,Louvor ao Reino do Céu
S.89,Gratidão e Louvor
S.92,Perfume Suave
S.100,Tuas Mãos Beijar
S.111,Uma Vida Com Deus
S.114,Para do Pecado Me Livrar
S.116,Riquezas do Céu
S.131,Canto Para o Primaz
S.145,A Unção Divina
S.147,Orando a Deus
S.150,Vitória de Uma Santa Gloriosa
S.152,Esta Igreja é o Meu Caminho
S.153,Tu És Meu Tesouro
S.155,Estou Feliz a Cantar
S.157,Sem Ti Não Seria Ninguém
S.158,A Benção da Santa Vó Rosa
S.159,Mãe Santa
S.161,Céu de Luz
S.162,Percorrendo Campos
"",
"",
"",
"",
