"",PROGRAMA RADIOFÔNICO “HORA MILAGROSA”
01 – Luz da Esperança,16 – Um Santo a Salvar
" Vivia só perdido, faminto andava", Olha que o tempo
02 – Milagrosa Santa,17 – Lindas Palavras
" Ungida por Jesus, Nossa Santa Vó Rosa", Amargurado neste mundo eu vivia ....
03 – Nos Céus Sempre Estarei,18 – O Princípio e o fim
" Jamais te esquecerei, Santa Vó Rosa...", Olhando o brilho do sol sua luz clareia
04 – Viva Estás no meu Coração,19 - Entrego-te Oh! Santa Vó Rosa
" Santa Vó Rosa, Espírito Consolador", Entrego-Te oh! Santa Vó Rosa ...
05 – Apostólico Sempre,20 – Feliz por Ser da Santa Vó Rosa
 Não se deixe levar..., Neste momento sagrado estou entoando
06 – Quando ao Céu Chegar,21 – Reverência
Nesta Igreja em que vivemos...," Silêncio, silêncio, respeito, amor e..."
07 – Dias Inesquecíveis,22 – Canto de Exaltação
" Um dia em minha vida, eu te encontrei", Oh Vó Rosa minha Santa Mãe
08 – Jornada da Vida,23 – Neste Dia Especial
" Eu vou seguindo este caminho, com Deus..."," Neste dia Especial, gostaria de te ver...."
09 – Divina Protetora,24 – Missão da Vó Rosa
 Contente eu vou seguindo este caminho, Vó Rosa Mãe Querida Tu és em nossa vida
10 – Mensagem de Amor,25 – Dedicação à Santa Vó Rosa
 Atribulado pelo mundo de ilusão....., Por tantas bênçãos que nos tens dado...
11 – Louvado seja oh! Santa Vó Rosa,26 – Convite à Salvação
" Santa Vó Rosa Rainha do Céu, Tu és a mãe", Meu amigo tu que vives no mundo sofredor...
"12 – Bondoso Pai, Santo Irmão Aldo",27 – Dia Maravilhoso
" Santo Irmão Aldo, Nestes versos tão..."," Hoje é um dia maravilhoso, dia de paz"
13 – Santa Vó Rosa Meu Consolador,28 – Irmão Aldo meu pai querido
 Na beleza da natureza meu pensamento, Santo Irmão Aldo Primaz da Consolação
"14 – Virgem Maria , Bem Aventurada",29 – Igreja dos Céus
" Pura Imaculada , Rainha do Céu", Esta Igreja Apostólica é como astro....
"15 – Seja Bem vindo meu amigo, meu Irmão",30 – Fonte do Maior Tesouro
 Meu amigo tu que estás ai no mundo, Oh triste pecador que vives a sofrer
"",
"",
"Rua Baguari, 158 - Tatuapé - São Paulo - SP – CEP 03084-900 – Fone (11) 2941-7066 – (Copyright © 1954-2015)",
www.apostolica.com.br,www.horamilagrosa.org
